sortOrder,id,catalogNumber,category,title,medium,dimensions.label,dimensions.orientation,widthCm,heightCm,sizeCategory,availability,price.amount,price.currency,cardNote,containImage,description.length,provenance.source
1,mj-001,MJ-001,catalogue,"Still Waters, Moving Souls",Acrylic pouring paint,20x20 cm,Square,20,20,20x20,Available,40,AUD,$40 (postage extra),True,457,google-drive
2,mj-002,MJ-002,catalogue,UMJ-002,,20x20 cm,Square,20,20,20x20,Available,,,Details to be added,True,0,google-drive
3,mj-003,MJ-003,catalogue,UMJ-003,,20x20 cm,Square,20,20,20x20,Available,,,Details to be added,True,0,google-drive
4,mj-004,MJ-004,catalogue,UMJ-004,,20x20 cm,Square,20,20,20x20,Available,,,Details to be added,True,0,google-drive
5,mj-005,MJ-005,catalogue,UMJ-005,,20x20 cm,Square,20,20,20x20,Available,,,Details to be added,True,0,google-drive
6,mj-006,MJ-006,catalogue,UMJ-006,,20x20 cm,Square,20,20,20x20,Available,,,Details to be added,True,0,google-drive
7,mj-007,MJ-007,catalogue,UMJ-007,,20x20 cm,Square,20,20,20x20,Available,,,Details to be added,True,0,google-drive
8,mj-008,MJ-008,catalogue,UMJ-008,,20x20 cm,Square,20,20,20x20,Available,,,Details to be added,True,0,google-drive
9,mj-009,MJ-009,catalogue,UMJ-009,,20x20 cm,Square,20,20,20x20,Available,,,Details to be added,True,0,google-drive
10,mj-010,MJ-010,catalogue,UMJ-010,,20x20 cm,Square,20,20,20x20,Available,,,Details to be added,True,0,google-drive
11,mj-011,MJ-011,catalogue,UMJ-011,,20x20 cm,Square,20,20,20x20,Available,,,Details to be added,True,0,google-drive
12,mj-012,MJ-012,catalogue,UMJ-012,,20x20 cm,Square,20,20,20x20,Available,,,Details to be added,True,0,google-drive
13,mj-013,MJ-013,catalogue,UMJ-013,,20x20 cm,Square,20,20,20x20,Available,,,Details to be added,True,0,google-drive
14,mj-014,MJ-014,catalogue,UMJ-014,,20x20 cm,Square,20,20,20x20,Available,,,Details to be added,True,0,google-drive
15,mj-015,MJ-015,catalogue,UMJ-015,,20x20 cm,Square,20,20,20x20,Available,,,Details to be added,True,0,google-drive
16,mj-016,MJ-016,catalogue,UMJ-016,,20x20 cm,Square,20,20,20x20,Available,,,Details to be added,True,0,google-drive
17,mj-017,MJ-017,catalogue,UMJ-017,,20x20 cm,Square,20,20,20x20,Available,,,Details to be added,True,0,google-drive
18,mj-018,MJ-018,catalogue,UMJ-018,,20x20 cm,Square,20,20,20x20,Available,,,Details to be added,True,0,google-drive
19,mj-019,MJ-019,catalogue,UMJ-019,,20x20 cm,Square,20,20,20x20,Available,,,Details to be added,True,0,google-drive
20,mj-020,MJ-020,catalogue,UMJ-020,,20x20 cm,Square,20,20,20x20,Available,,,Details to be added,True,0,google-drive
21,mj-021,MJ-021,catalogue,UMJ-021,,20x20 cm,Square,20,20,20x20,Available,,,Details to be added,True,0,google-drive
22,mj-022,MJ-022,catalogue,UMJ-022,,20x20 cm,Square,20,20,20x20,Available,,,Details to be added,True,0,google-drive
23,mj-023,MJ-023,catalogue,Where the Light Breaks Through,,20x20 cm,Square,20,20,20x20,Available,,,Details to be added,False,1055,google-drive
24,mj-024,MJ-024,catalogue,UMJ-024,,20x20 cm,Square,20,20,20x20,Available,,,Details to be added,True,0,google-drive
25,mj-025,MJ-025,catalogue,UMJ-025,,20x20 cm,Square,20,20,20x20,Available,,,Details to be added,True,0,google-drive
26,mj-026,MJ-026,catalogue,UMJ-026,,20x20 cm,Square,20,20,20x20,Available,,,Details to be added,True,0,google-drive
27,mj-027,MJ-027,catalogue,UMJ-027,,20x20 cm,Square,20,20,20x20,Available,,,Details to be added,True,0,google-drive
28,mj-028,MJ-028,catalogue,UMJ-028,,20x20 cm,Square,20,20,20x20,Available,,,Details to be added,True,0,google-drive
29,mj-029,MJ-029,catalogue,UMJ-029,,20x20 cm,Square,20,20,20x20,Available,,,Details to be added,True,0,google-drive
30,mj-030,MJ-030,catalogue,UMJ-030,,20x20 cm,Square,20,20,20x20,Available,,,Details to be added,True,0,google-drive
31,mj-031,MJ-031,catalogue,UMJ-031,,20x20 cm,Square,20,20,20x20,Available,,,Details to be added,True,0,google-drive
32,mj-032,MJ-032,catalogue,UMJ-032,,20x20 cm,Square,20,20,20x20,Available,,,Details to be added,True,0,google-drive
